id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
1,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-07,2021-12-19,2021-12-11,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,2
2,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-01,2021-10-05,2021-10-25,2021-10-11,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,Finalizada avaliada,Não Resolvida,1
3,NE,RN,Natal,M,entre 41 a 50 anos,2021-12-01,2021-12-01,2021-12-01,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
4,NE,SE,Aracaju,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-26,2021-10-11,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,Finalizada avaliada,Resolvida,5
5,CO,MS,Campo Grande,M,entre 41 a 50 anos,2021-10-01,2021-10-07,2021-10-07,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,4
6,S,RS,Pelotas,F,até 20 anos,2021-12-01,2021-12-02,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7,CO,DF,Brasília,F,entre 51 a 60 anos,2021-12-01,2021-12-07,2021-12-22,2021-12-11,GLO,Gol Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,1
8,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-01,2021-10-05,2021-10-23,2021-10-11,X19,TAP Air Portugal,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,3
9,NE,MA,São Luís,M,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-27,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,5
10,NE,PI,Parnaíba,F,entre 41 a 50 anos,2021-12-01,2021-12-06,2021-12-27,2021-12-11,X19,TAP Air Portugal,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
11,NE,SE,Aracaju,M,entre 41 a 50 anos,2021-12-01,2021-12-09,2021-12-29,2021-12-11,X04,Air Europa,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
12,NE,MA,São Luís,M,entre 51 a 60 anos,2021-10-01,2021-10-07,2021-10-20,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
13,N,PA,Santarém,M,entre 31 a 40 anos,2021-12-01,2021-12-02,2021-12-04,2021-12-11,AZU,Azul Linhas Aéreas,Falta de acessibilidade ao idoso ou à pessoa com deficiência,Internet,Finalizada avaliada,Resolvida,5
14,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-07,2021-12-21,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
15,NE,AL,Maceió,M,entre 31 a 40 anos,2021-12-01,2021-12-09,2021-12-27,2021-12-11,IPM,Itapemirim Transportes Aéreos,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
16,S,RS,Pelotas,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
17,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,IPM,Itapemirim Transportes Aéreos,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
18,S,RS,Novo Hamburgo,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-09,2021-10-11,X19,TAP Air Portugal,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,3
19,N,AM,Atalaia do Norte,F,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
20,N,AM,Manaus,M,entre 51 a 60 anos,2021-12-01,2021-12-06,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Internet,Finalizada avaliada,Resolvida,3
21,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
22,S,RS,Santa Maria,M,entre 61 a 70 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,Finalizada não avaliada,Não Avaliada,0
23,NE,SE,Nossa Senhora do Socorro,F,entre 21 a 30 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,Finalizada avaliada,Não Resolvida,1
24,N,TO,Gurupi,M,entre 51 a 60 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
25,N,PA,Belém,F,entre 51 a 60 anos,2021-12-01,2021-12-10,2021-12-15,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada avaliada,Não Resolvida,1
26,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-13,2021-10-11,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,5
27,N,PA,Ananindeua,M,entre 51 a 60 anos,2021-12-01,2021-12-03,2021-12-06,2021-12-11,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
28,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-26,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,2
29,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
30,CO,DF,Brasília,F,entre 21 a 30 anos,2021-10-01,2021-10-04,2021-10-22,2021-10-11,AZU,Azul Linhas Aéreas,Dificuldade para contratar / recusa injustificada,Internet,Finalizada avaliada,Resolvida,4
31,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade de acesso a dados pessoais ou financeiros,Internet,Finalizada não avaliada,Não Avaliada,0
32,NE,MA,São Luís,M,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,AZU,Azul Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
33,CO,DF,Brasília,M,entre 61 a 70 anos,2021-10-01,2021-10-08,2021-10-19,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Não Resolvida,3
34,S,RS,Pelotas,F,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-11,2021-12-11,AZU,Azul Linhas Aéreas,Atraso de voo,Internet,Finalizada avaliada,Resolvida,5
35,N,AM,Manaus,F,entre 41 a 50 anos,2021-10-01,2021-10-04,2021-10-04,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,4
36,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
