id,empresa_sigla,empresa_nome,ano,mes,sigla_aeroporto_origem,nome_aeroporto_origem,uf_aeroporto_origem,regiao_aeroporto_origem,sigla_aeroporto_destino,nome_aeroporto_destino,uf_aeroporto_destino,regiao_aeroporto_destino,natureza,grupo_voo,passageiros_pagos,distancia_km,assentos_total
1,ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,2021,12,SBSV,SALVADOR,BA,NORDESTE,SIRI,MARAÚ,BA,NORDESTE,DOMÉSTICA,REGULAR,70,1677,117
2,ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,2021,12,SBSV,SALVADOR,BA,NORDESTE,SNCL,CAIRU,BA,NORDESTE,DOMÉSTICA,REGULAR,220,2490,270
3,ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,2021,12,SIRI,MARAÚ,BA,NORDESTE,SBSV,SALVADOR,BA,NORDESTE,DOMÉSTICA,REGULAR,29,1419,99
4,ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,2021,12,SNCL,CAIRU,BA,NORDESTE,SBSV,SALVADOR,BA,NORDESTE,DOMÉSTICA,REGULAR,130,2573,279
5,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBBE,BELÉM,PA,NORTE,SBMD,ALMEIRIM,PA,NORTE,DOMÉSTICA,REGULAR,128,10626,207
6,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBBE,BELÉM,PA,NORTE,SNVS,BREVES,PA,NORTE,DOMÉSTICA,REGULAR,171,7260,297
7,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBBG,BAGÉ,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,124,6420,180
8,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,119,8400,189
9,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,SBGO,GOIÂNIA,GO,CENTRO-OESTE,DOMÉSTICA,REGULAR,16,1047,27
10,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,128,8400,189
11,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SSOU,ARIPUANÃ,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,57,5656,72
12,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,63,4167,81
13,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SWJN,JUÍNA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,73,5480,90
14,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SWPH,BARRA DO GARÇAS,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,7,430,9
15,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBGO,GOIÂNIA,GO,CENTRO-OESTE,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,6,1047,27
16,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBMD,ALMEIRIM,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,72,4620,90
17,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBMD,ALMEIRIM,PA,NORTE,SNYA,ALMEIRIM,PA,NORTE,DOMÉSTICA,REGULAR,70,858,117
18,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SBBG,BAGÉ,RS,SUL,DOMÉSTICA,REGULAR,99,6099,171
19,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SBCH,CHAPECÓ,SC,SUL,DOMÉSTICA,REGULAR,4,350,9
20,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SBUG,URUGUAIANA,RS,SUL,DOMÉSTICA,REGULAR,4,566,9
21,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SNEE,VACARIA,RS,SUL,DOMÉSTICA,REGULAR,47,1566,81
22,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSCN,CANELA,RS,SUL,DOMÉSTICA,REGULAR,88,1386,162
23,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSER,ERECHIM,RS,SUL,DOMÉSTICA,REGULAR,33,1686,54
24,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSLT,ALEGRETE,RS,SUL,DOMÉSTICA,REGULAR,56,4560,90
25,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSSB,SÃO BORJA,RS,SUL,DOMÉSTICA,REGULAR,68,5434,99
26,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSSC,SANTA CRUZ DO SUL,RS,SUL,DOMÉSTICA,REGULAR,31,1125,81
27,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBPA,PORTO ALEGRE,RS,SUL,SSZR,SANTA ROSA,RS,SUL,DOMÉSTICA,REGULAR,46,2800,63
28,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBRF,RECIFE,PE,NORDESTE,SNHS,SERRA TALHADA,PE,NORDESTE,DOMÉSTICA,REGULAR,198,13500,324
29,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBRF,RECIFE,PE,NORDESTE,SNRU,CARUARU,PE,NORDESTE,DOMÉSTICA,REGULAR,189,4356,324
30,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SBRF,RECIFE,PE,NORDESTE,SNTS,PATOS,PB,NORDESTE,DOMÉSTICA,REGULAR,133,5680,180
31,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SDH2,PORTO ALEGRE DO NORTE,MT,CENTRO-OESTE,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,9,2800,72
