EMPRESA_SIGLA;EMPRESA_NOME;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;DISTANCIA_VOADA_KM;ASSENTOS
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SBSV;SALVADOR;BA;NORDESTE;SIRI;MARAÚ;BA;NORDESTE;DOMÉSTICA;REGULAR;70;1677;117
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SBSV;SALVADOR;BA;NORDESTE;SNCL;CAIRU;BA;NORDESTE;DOMÉSTICA;REGULAR;220;2490;270
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SIRI;MARAÚ;BA;NORDESTE;SBSV;SALVADOR;BA;NORDESTE;DOMÉSTICA;REGULAR;29;1419;99
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SNCL;CAIRU;BA;NORDESTE;SBSV;SALVADOR;BA;NORDESTE;DOMÉSTICA;REGULAR;130;2573;279
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBBE;BELÉM;PA;NORTE;SBMD;ALMEIRIM;PA;NORTE;DOMÉSTICA;REGULAR;128;10626;207
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBBE;BELÉM;PA;NORTE;SNVS;BREVES;PA;NORTE;DOMÉSTICA;REGULAR;171;7260;297
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBBG;BAGÉ;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;124;6420;180
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;119;8400;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;SBGO;GOIÂNIA;GO;CENTRO-OESTE;DOMÉSTICA;REGULAR;16;1047;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;128;8400;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SSOU;ARIPUANÃ;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;57;5656;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;63;4167;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SWJN;JUÍNA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;73;5480;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SWPH;BARRA DO GARÇAS;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;7;430;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBGO;GOIÂNIA;GO;CENTRO-OESTE;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;6;1047;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBMD;ALMEIRIM;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;72;4620;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBMD;ALMEIRIM;PA;NORTE;SNYA;ALMEIRIM;PA;NORTE;DOMÉSTICA;REGULAR;70;858;117
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SBBG;BAGÉ;RS;SUL;DOMÉSTICA;REGULAR;99;6099;171
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SBCH;CHAPECÓ;SC;SUL;DOMÉSTICA;REGULAR;4;350;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SBUG;URUGUAIANA;RS;SUL;DOMÉSTICA;REGULAR;4;566;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SNEE;VACARIA;RS;SUL;DOMÉSTICA;REGULAR;47;1566;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSCN;CANELA;RS;SUL;DOMÉSTICA;REGULAR;88;1386;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSER;ERECHIM;RS;SUL;DOMÉSTICA;REGULAR;33;1686;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSLT;ALEGRETE;RS;SUL;DOMÉSTICA;REGULAR;56;4560;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSSB;SÃO BORJA;RS;SUL;DOMÉSTICA;REGULAR;68;5434;99
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSSC;SANTA CRUZ DO SUL;RS;SUL;DOMÉSTICA;REGULAR;31;1125;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBPA;PORTO ALEGRE;RS;SUL;SSZR;SANTA ROSA;RS;SUL;DOMÉSTICA;REGULAR;46;2800;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBRF;RECIFE;PE;NORDESTE;SNHS;SERRA TALHADA;PE;NORDESTE;DOMÉSTICA;REGULAR;198;13500;324
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBRF;RECIFE;PE;NORDESTE;SNRU;CARUARU;PE;NORDESTE;DOMÉSTICA;REGULAR;189;4356;324
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SBRF;RECIFE;PE;NORDESTE;SNTS;PATOS;PB;NORDESTE;DOMÉSTICA;REGULAR;133;5680;180
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SDH2;PORTO ALEGRE DO NORTE;MT;CENTRO-OESTE;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;9;2800;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNEE;VACARIA;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;41;1392;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNEE;VACARIA;RS;SUL;SSER;ERECHIM;RS;SUL;DOMÉSTICA;REGULAR;3;150;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNHS;SERRA TALHADA;PE;NORDESTE;SBRF;RECIFE;PE;NORDESTE;DOMÉSTICA;REGULAR;242;13500;324
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNRU;CARUARU;PE;NORDESTE;SBRF;RECIFE;PE;NORDESTE;DOMÉSTICA;REGULAR;265;4235;315
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNTS;PATOS;PB;NORDESTE;SBRF;RECIFE;PE;NORDESTE;DOMÉSTICA;REGULAR;146;5112;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNVS;BREVES;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;212;7260;297
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SNYA;ALMEIRIM;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;85;5928;117
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSCN;CANELA;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;89;1386;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSER;ERECHIM;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;44;1967;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSLT;ALEGRETE;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;62;4560;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSOU;ARIPUANÃ;MT;CENTRO-OESTE;SWJN;JUÍNA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;103;2880;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSSB;SÃO BORJA;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;74;5434;99
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSSC;SANTA CRUZ DO SUL;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;47;1250;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SSZR;SANTA ROSA;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;52;2800;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWFX;SÃO FÉLIX DO ARAGUAIA;MT;CENTRO-OESTE;SDH2;PORTO ALEGRE DO NORTE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;9;1152;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;55;3704;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;SWFX;SÃO FÉLIX DO ARAGUAIA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;24;2472;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWJN;JUÍNA;MT;CENTRO-OESTE;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;61;4384;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWJN;JUÍNA;MT;CENTRO-OESTE;SSOU;ARIPUANÃ;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;58;1600;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;10;SWJN;JUÍNA;MT;CENTRO-OESTE;SWTS;TANGARÁ DA SERRA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;72;3860;90
